,Therapeutic_antibody,Immun_value,True_label,Cluster_label
80,icrucumab,0.0,blue,blue
135,ofatumumab,0.2,blue,blue
43,inclacumab,1.7,red,blue
120,daratumumab,0.6,blue,blue
74,eldelumab,0.4,blue,blue
47,fulranumab,0.4,blue,blue
108,bezlotoxumab,0.2,blue,blue
51,aducanumab,0.6,blue,blue
14,nivolumab,8.9,red,blue
117,secukinumab,0.4,blue,blue
22,avelumab,16.0,red,blue
160,olaratumab,3.5,red,blue
118,golimumab,22.1,red,blue
12,ipilimumab,5.7,red,blue
95,sifalimumab,14.8,red,blue
55,brazikumab,0.4,blue,blue
73,dusigitumab,0.0,blue,blue
124,evolocumab,0.3,blue,blue
159,belimumab,1.4,red,blue
104,emapalumab,8.8,red,blue
23,canakinumab,1.8,red,blue
33,tezepelumab,2.0,red,blue
59,ganitumab,0.8,blue,blue
89,opicinumab,0.2,blue,blue
69,tabalumab,1.6,red,blue
71,bleselumab,15.8,red,blue
32,erenumab,5.7,red,blue
11,durvalumab,3.1,red,blue
96,suvratoxumab,0.8,blue,blue
64,pamrevlumab,8.2,red,blue
154,varlilumab,0.0,blue,blue
126,burosumab,14.3,red,blue
21,ustekinumab,7.7,red,blue
13,necitumumab,4.1,red,blue
78,gancotamab,2.9,red,blue
101,lanadelumab,12.6,red,blue
147,depatuxizumab,0.0,blue,Orange
31,vatelizumab,0.7,blue,Orange
68,sutimlimab,12.0,red,Orange
20,natalizumab,9.5,red,Orange
36,veltuzumab,9.1,red,Orange
42,tomuzotuximab,8.1,red,Orange
157,itolizumab,15.5,red,Orange
18,infliximab,64.4,red,Orange
142,futuximab,0.8,blue,Orange
16,moxetumomab,87.5,red,Orange
25,dinutuximab,22.2,red,Orange
138,coltuximab,1.2,red,Orange
130,blinatumomab,2.0,red,Orange
24,brentuximab,23.7,red,Orange
2,siltuximab,2.0,red,Orange
70,amatuximab,15.8,red,Orange
41,zolbetuximab,9.5,red,Orange
0,basiliximab,1.2,red,Orange
17,begelomab,21.4,red,Orange
40,ublituximab,81.0,red,Orange
1,rituximab,10.8,red,Orange
44,ponezumab,0.0,blue,Green
